iteration,train_loss,val_loss,train_acc,val_acc
7900,tensor(2.0865),tensor(2.0698),tensor(0.3930),tensor(0.3969)
8000,tensor(2.0786),tensor(2.0726),tensor(0.3957),tensor(0.3988)
8100,tensor(2.0712),tensor(2.0644),tensor(0.3972),tensor(0.3993)
8200,tensor(2.0742),tensor(2.0627),tensor(0.3963),tensor(0.4001)
8300,tensor(2.0628),tensor(2.0608),tensor(0.3982),tensor(0.4036)
8400,tensor(2.0609),tensor(2.0475),tensor(0.4004),tensor(0.4033)
8500,tensor(2.0585),tensor(2.0580),tensor(0.4016),tensor(0.4034)
8600,tensor(2.0464),tensor(2.0375),tensor(0.4033),tensor(0.4064)
8700,tensor(2.0395),tensor(2.0298),tensor(0.4067),tensor(0.4059)
8800,tensor(2.0368),tensor(2.0293),tensor(0.4041),tensor(0.4089)
8900,tensor(2.0354),tensor(2.0208),tensor(0.4057),tensor(0.4085)
9000,tensor(2.0367),tensor(2.0226),tensor(0.4057),tensor(0.4090)
9100,tensor(2.0193),tensor(2.0125),tensor(0.4085),tensor(0.4122)
9200,tensor(2.0116),tensor(2.0049),tensor(0.4110),tensor(0.4134)
9300,tensor(2.0177),tensor(2.0006),tensor(0.4113),tensor(0.4152)
9400,tensor(2.0108),tensor(2.0061),tensor(0.4135),tensor(0.4162)
9500,tensor(2.0050),tensor(1.9978),tensor(0.4150),tensor(0.4195)
9600,tensor(2.0074),tensor(1.9898),tensor(0.4151),tensor(0.4188)
9700,tensor(1.9996),tensor(1.9882),tensor(0.4152),tensor(0.4181)
9800,tensor(1.9864),tensor(1.9815),tensor(0.4176),tensor(0.4222)
9900,tensor(1.9918),tensor(1.9819),tensor(0.4202),tensor(0.4228)
10000,tensor(1.9809),tensor(1.9727),tensor(0.4204),tensor(0.4217)
10100,tensor(1.9770),tensor(1.9730),tensor(0.4216),tensor(0.4232)
10200,tensor(1.9722),tensor(1.9704),tensor(0.4226),tensor(0.4268)
10300,tensor(1.9670),tensor(1.9723),tensor(0.4267),tensor(0.4276)
10400,tensor(1.9638),tensor(1.9538),tensor(0.4268),tensor(0.4292)
10500,tensor(1.9606),tensor(1.9589),tensor(0.4277),tensor(0.4282)
10600,tensor(1.9678),tensor(1.9515),tensor(0.4266),tensor(0.4283)
10700,tensor(1.9553),tensor(1.9457),tensor(0.4284),tensor(0.4303)
10800,tensor(1.9638),tensor(1.9465),tensor(0.4270),tensor(0.4324)
10900,tensor(1.9507),tensor(1.9397),tensor(0.4293),tensor(0.4346)
11000,tensor(1.9532),tensor(1.9313),tensor(0.4317),tensor(0.4340)
11100,tensor(1.9375),tensor(1.9304),tensor(0.4313),tensor(0.4363)
11200,tensor(1.9349),tensor(1.9299),tensor(0.4344),tensor(0.4381)
11300,tensor(1.9295),tensor(1.9287),tensor(0.4354),tensor(0.4394)
11400,tensor(1.9290),tensor(1.9096),tensor(0.4341),tensor(0.4390)
11500,tensor(1.9187),tensor(1.9138),tensor(0.4370),tensor(0.4383)
11600,tensor(1.9148),tensor(1.9054),tensor(0.4372),tensor(0.4433)
11700,tensor(1.9231),tensor(1.9110),tensor(0.4369),tensor(0.4417)
11800,tensor(1.9210),tensor(1.9041),tensor(0.4378),tensor(0.4433)
11900,tensor(1.9093),tensor(1.9018),tensor(0.4381),tensor(0.4448)
12000,tensor(1.9158),tensor(1.9025),tensor(0.4430),tensor(0.4446)
12100,tensor(1.9124),tensor(1.8901),tensor(0.4433),tensor(0.4458)
12200,tensor(1.9074),tensor(1.8790),tensor(0.4440),tensor(0.4487)
12300,tensor(1.8992),tensor(1.8835),tensor(0.4458),tensor(0.4489)
12400,tensor(1.8992),tensor(1.8764),tensor(0.4458),tensor(0.4505)
12500,tensor(1.8852),tensor(1.8836),tensor(0.4446),tensor(0.4529)
12600,tensor(1.8866),tensor(1.8815),tensor(0.4481),tensor(0.4530)
12700,tensor(1.8890),tensor(1.8775),tensor(0.4492),tensor(0.4519)
12800,tensor(1.8817),tensor(1.8749),tensor(0.4477),tensor(0.4546)
12900,tensor(1.8850),tensor(1.8683),tensor(0.4503),tensor(0.4534)
13000,tensor(1.8796),tensor(1.8625),tensor(0.4531),tensor(0.4541)
13100,tensor(1.8739),tensor(1.8622),tensor(0.4544),tensor(0.4582)
13200,tensor(1.8594),tensor(1.8562),tensor(0.4562),tensor(0.4556)
13300,tensor(1.8609),tensor(1.8573),tensor(0.4555),tensor(0.4578)
13400,tensor(1.8663),tensor(1.8499),tensor(0.4555),tensor(0.4588)
13500,tensor(1.8581),tensor(1.8533),tensor(0.4529),tensor(0.4569)
13600,tensor(1.8465),tensor(1.8403),tensor(0.4573),tensor(0.4613)
13700,tensor(1.8497),tensor(1.8454),tensor(0.4615),tensor(0.4619)
13800,tensor(1.8582),tensor(1.8324),tensor(0.4585),tensor(0.4618)
13900,tensor(1.8471),tensor(1.8299),tensor(0.4618),tensor(0.4645)
14000,tensor(1.8474),tensor(1.8321),tensor(0.4607),tensor(0.4638)
14100,tensor(1.8321),tensor(1.8263),tensor(0.4642),tensor(0.4688)
14200,tensor(1.8415),tensor(1.8255),tensor(0.4609),tensor(0.4645)
14300,tensor(1.8347),tensor(1.8222),tensor(0.4621),tensor(0.4663)
14400,tensor(1.8288),tensor(1.8245),tensor(0.4641),tensor(0.4688)
14500,tensor(1.8271),tensor(1.8195),tensor(0.4646),tensor(0.4667)
14600,tensor(1.8246),tensor(1.8129),tensor(0.4633),tensor(0.4680)
14700,tensor(1.8296),tensor(1.8117),tensor(0.4674),tensor(0.4675)
14800,tensor(1.8220),tensor(1.8105),tensor(0.4650),tensor(0.4695)
14900,tensor(1.8129),tensor(1.8003),tensor(0.4673),tensor(0.4727)
15000,tensor(1.8250),tensor(1.8062),tensor(0.4700),tensor(0.4771)
15100,tensor(1.8094),tensor(1.8008),tensor(0.4696),tensor(0.4769)
15200,tensor(1.8161),tensor(1.7936),tensor(0.4672),tensor(0.4739)
15300,tensor(1.8034),tensor(1.7930),tensor(0.4734),tensor(0.4778)
15400,tensor(1.7914),tensor(1.7905),tensor(0.4752),tensor(0.4777)
15500,tensor(1.8189),tensor(1.7928),tensor(0.4713),tensor(0.4758)
